t_sec,x_m,y_m,theta_rad
9.687489724,0.006072836289395196,-0.0003761430785030295,-0.01452290156708728
9.697424469,0.006074812596381866,-0.00037629430805854504,-0.01452735207388336
9.707425679,0.006076713343087338,-0.0003763805874939057,-0.014532061358379596
9.717387137,0.006078689643829013,-0.0003765318138932005,-0.014536511771896422
9.727343937,0.0060805903842398295,-0.00037661809027931593,-0.014541220966837663
9.737334866,0.006082566678736725,-0.0003767693135225524,-0.014545671287077356
9.747603183,0.006084467412853144,-0.00037685558685957704,-0.014550380392465605
9.757686539,0.006086443701105481,-0.0003770068069468588,-0.014554830619430095
9.767619063,0.006088344428927638,-0.0003770930772349114,-0.01455953963526729
9.777691482,0.006090320710935606,-0.0003772442941663755,-0.014563989768958806
9.787753899,0.0060922214324637,-0.0003773305614055868,-0.014568698695247064
9.797716436,0.006094197708227435,-0.0003774817751813691,-0.014573148735667472
9.807676247,0.0060960984234616185,-0.0003775680393719031,-0.014577857572408915
9.817714264,0.006098074692981277,-0.000377719249992159,-0.01458230751956058
9.827614444,0.006099975401921798,-0.00037780551113416027,-0.01458701626675757
9.837604807,0.006101951665197684,-0.00037795671859903123,-0.014591466120642504
9.847582679,0.006103852367844788,-0.0003780429766926595,-0.014596174778297034
9.857507966,0.0061058286248769295,-0.00037819418100230504,-0.01460062453891723
9.867578811,0.006107729321230681,-0.000378280436047675,-0.01460533310703163
9.877474396,0.006109705572019344,-0.0003784316372021846,-0.014609782774389348
9.887393271,0.006111606262080015,-0.0003785178891994377,-0.01461449125296541
9.897586871,0.00611358250662544,-0.00037866908719899405,-0.014618940827062705
9.907579366,0.006115483190393188,-0.0003787553361483285,-0.014623649216102706
9.917479864,0.006117459428695469,-0.00037890653099303576,-0.014628098696941622
9.927693692,0.006119360106170512,-0.0003789927768945476,-0.014632806996447523
9.937667576,0.006121336338229809,-0.00037914396858456203,-0.014637256384030014
9.947738208,0.006123237009412342,-0.0003792302114384126,-0.014641964594004098
9.957661549,0.006125213235228937,-0.00037938139997384027,-0.014646413888332372
9.967624667,0.006127113900119135,-0.0003794676397801564,-0.014651122008776642
9.977621062,0.006129090119693184,-0.0003796188251611602,-0.014655571209852851
9.987619134,0.006130990778291288,-0.00037970506192011133,-0.01466027924076953
9.997692416,0.006132966991622895,-0.00037985624414686443,-0.014664728348595803
10.007617233,0.006134867643929044,-0.0003799424778585977,-0.014669436289986883
10.017524954,0.0061368438510184566,-0.0003800936569311774,-0.014673885304565067
10.027672468,0.006138744497032841,-0.0003801798875957902,-0.01467859315643274
10.037633442,0.0061407206978801995,-0.00038033106351436296,-0.014683042077765225
10.047608543,0.006142621337603006,-0.0003804172911320455,-0.01468774984011143
10.057581008,0.0061445975322085246,-0.0003805684638967578,-0.014692198668200164
10.067635522,0.0061464981656400445,-0.0003806546884676294,-0.014696906341027249
10.077543045,0.0061484743540040085,-0.0003808058580786123,-0.014701355075874355
10.087676444,0.006150374981144339,-0.00038089207960283807,-0.014706062659184364
10.097685123,0.006152351163266799,-0.0003810432460602518,-0.014710511300791845
10.108045651,0.00615425178411617,-0.0003811294645379399,-0.014715218794586699
10.117679564,0.006156227959997338,-0.0003812806278418492,-0.014719667342956601
10.127957262,0.006158128574555974,-0.00038136684327318723,-0.014724374747238754
10.138049822,0.0061601047441960715,-0.00038151800342379013,-0.014728823202373356
10.147649114,0.006162005352464101,-0.00038160421580886526,-0.014733530517144511
10.158026913,0.0061639815158632755,-0.0003817553728062858,-0.014737978879045608
10.167720561,0.0061658821178408735,-0.00038184158214526006,-0.01474268610430823
10.177566263,0.006167858274999294,-0.0003819927359896607,-0.014747134372978348
10.187942857,0.006169758870686692,-0.0003820789422827655,-0.014751841508734534
10.197874469,0.00617173502160457,-0.00038223009297426913,-0.014756289684175326
10.208147569,0.006173635611001985,-0.00038231629622153634,-0.014760996730427165
10.218655932,0.006175611755679532,-0.0003824674437602668,-0.014765444812640988
10.228540728,0.006177512338787093,-0.00038255364396191227,-0.014770151769390429
10.238916726,0.006179488477224421,-0.000382704788348007,-0.01477459975837934
10.248568452,0.006181389054042423,-0.00038279098550415076,-0.014779306625628557
10.258519381,0.006183365186239758,-0.00038294212673775294,-0.014783754521394623
10.268700314,0.0061852657567683005,-0.00038302832084851816,-0.014788461299145753
10.27853608,0.0061872418827258234,-0.00038317945892976326,-0.014792909101691114
10.288562945,0.006189142446965125,-0.00038326564999528176,-0.014797615789946334
10.298872982,0.00619111856668299,-0.0003834167849243183,-0.014802063499272971
10.308537527,0.006193019124633222,-0.0003835029729447785,-0.014806770098034296
10.318567063,0.006194995238111593,-0.00038365410472174775,-0.014811217714144408
10.328551648,0.006196895789773017,-0.000383740289697265,-0.014815924223414007
